D,L,R,Clocks,ClocksPerAccess
8,10240,20479,1413728,6.9033058255
8,15360,30719,2121048,6.9046778866
8,40960,81919,5681396,6.9353825120
8,81920,163839,11330038,6.9153486044
8,163840,327679,22773712,6.9500065613
32,384,384,27164,7.0739583333
32,1152,1152,82850,7.1918402778
32,10240,10240,760648,7.4282031250
32,15360,15360,1267126,8.2495182292
32,40960,40960,3809964,9.3016699219
32,81920,81920,7751476,9.4622509766
32,163840,163840,14368328,8.7697314453
128,384,384,28188,7.3406250000
128,1152,1152,84392,7.3256944444
128,10240,10240,886630,8.6584960937
128,15360,15360,1201716,7.8236718750
128,40960,40960,3566054,8.7061865234
128,81920,81920,15052220,18.3742919922
128,163840,163840,33462058,20.4236193848
1024,384,384,35866,9.3401041667
1024,1152,1152,114526,9.9414930556
1024,10240,10240,2335736,22.8099218750
1024,15360,15360,3520956,22.9228906250
1024,40960,40960,9982712,24.3718554687
1024,81920,81920,17929774,21.8869311523
1024,163840,163840,40146340,24.5033813477
1,384,6129,415200,6.7743514440
1,1152,18417,1248676,6.7800184612
1,10240,163825,11156350,6.8099191210
1,15360,245745,16751134,6.8164699180
1,40960,655345,44636476,6.8111416124
1,81920,1310705,89326144,6.8151219382
1,163840,2621425,178495920,6.8091179416
8,384,767,52186,6.8039113429
8,1152,2303,158182,6.8685193226
8,10240,20479,1414448,6.9068216221
8,15360,30719,2120620,6.9032846121
8,40960,81919,5696556,6.9538885973
8,81920,163839,11356110,6.9312617875
8,163840,327679,22671970,6.9189572722
32,384,384,27140,7.0677083333
32,1152,1152,83192,7.2215277778
32,10240,10240,772956,7.5483984375
32,15360,15360,1407444,9.1630468750
32,40960,40960,3324166,8.1156396484
32,81920,81920,7468996,9.1174267578
32,163840,163840,14366378,8.7685412598
128,384,384,28152,7.3312500000
128,1152,1152,83654,7.2616319444
128,10240,10240,842738,8.2298632812
128,15360,15360,1253270,8.1593098958
128,40960,40960,3709320,9.0559570312
128,81920,81920,14969716,18.2735791016
128,163840,163840,33375434,20.3707482910
1024,384,384,35344,9.2041666667
1024,1152,1152,112946,9.8043402778
1024,10240,10240,2266380,22.1326171875
1024,15360,15360,3551132,23.1193489583
1024,40960,40960,9848982,24.0453662109
1024,81920,81920,20052110,24.4776733398
1024,163840,163840,39543888,24.1356738281
1,384,6129,415124,6.7731114374
1,1152,18417,1258950,6.8358038769
1,10240,163825,11164882,6.8151271174
1,15360,245745,16749920,6.8159759100
1,40960,655345,44666932,6.8157889356
1,81920,1310705,89260786,6.8101354615
1,163840,2621425,178482458,6.8086044041
8,384,767,52048,6.7859191656
8,1152,2303,158490,6.8818931828
8,10240,20479,1413116,6.9003173983
8,15360,30719,2120114,6.9016374231
8,40960,81919,5686236,6.9412907872
8,81920,163839,11326728,6.9133283284
8,163840,327679,22678818,6.9210471223
32,384,384,27024,7.0375000000
32,1152,1152,83098,7.2133680556
32,10240,10240,764312,7.4639843750
32,15360,15360,1222704,7.9603125000
32,40960,40960,3249110,7.9323974609
32,81920,81920,7609612,9.2890771484
32,163840,163840,14550844,8.8811303711
128,384,384,28184,7.3395833333
128,1152,1152,89898,7.8036458333
128,10240,10240,860676,8.4050390625
128,15360,15360,1232926,8.0268619792
128,40960,40960,3691388,9.0121777344
128,81920,81920,14785322,18.0484887695
128,163840,163840,33102510,20.2041687012
1024,384,384,37762,9.8338541667
1024,1152,1152,113646,9.8651041667
1024,10240,10240,2206138,21.5443164063
1024,15360,15360,3511842,22.8635546875
1024,40960,40960,9807590,23.9443115234
1024,81920,81920,20131534,24.5746264648
1024,163840,163840,39608294,24.1749841309
