D,L,R,Clocks,ClocksPerAccess
8,81920,81920,5989752,7.3117089844
8,163840,163840,12046932,7.3528637695
32,384,384,27850,7.2526041667
32,1152,1152,83906,7.2835069444
32,10240,10240,864854,8.4458398438
32,15360,15360,1185058,7.7152213542
32,40960,40960,3453050,8.4302978516
32,81920,81920,8548638,10.4353491211
32,163840,163840,27687756,16.8992651367
128,384,384,28070,7.3098958333
128,1152,1152,87364,7.5836805556
128,10240,10240,889960,8.6910156250
128,15360,15360,1223712,7.9668750000
128,40960,40960,7049034,17.2095556641
128,81920,81920,14970366,18.2743725586
128,163840,163840,30039182,18.3344616699
1024,384,384,78448,20.4291666667
1024,1152,1152,105234,9.1348958333
1024,10240,10240,2403466,23.4713476562
1024,15360,15360,3609662,23.5004036458
1024,40960,40960,9894098,24.1555126953
1024,81920,81920,19836466,24.2144360352
1024,163840,163840,39245038,23.9532702637
1,384,3065,219396,7.1581076672
1,1152,9209,692002,7.5144098165
1,10240,81913,5883388,7.1824838548
1,15360,122873,8826946,7.1837962775
1,40960,327673,23698088,7.2322370168
1,81920,655353,47171726,7.1979110495
1,163840,1310713,94295272,7.1941967464
8,384,384,27376,7.1291666667
8,1152,1152,83508,7.2489583333
8,10240,10240,744826,7.2736914063
8,15360,15360,1116246,7.2672265625
8,40960,40960,3009418,7.3472119141
8,81920,81920,5999382,7.3234643555
8,163840,163840,12044176,7.3511816406
32,384,384,27770,7.2317708333
32,1152,1152,83628,7.2593750000
32,10240,10240,805854,7.8696679687
32,15360,15360,1190246,7.7489973958
32,40960,40960,3403458,8.3092236328
32,81920,81920,8445640,10.3096191406
32,163840,163840,27675364,16.8917016602
128,384,384,28190,7.3411458333
128,1152,1152,87552,7.6000000000
128,10240,10240,873392,8.5292187500
128,15360,15360,1289786,8.3970442708
128,40960,40960,6933962,16.9286181641
128,81920,81920,14921090,18.2142211914
128,163840,163840,30172278,18.4156970215
1024,384,384,35658,9.2859375000
1024,1152,1152,105764,9.1809027778
1024,10240,10240,2344694,22.8974023437
1024,15360,15360,3611012,23.5091927083
1024,40960,40960,9965224,24.3291601563
1024,81920,81920,19692696,24.0389355469
1024,163840,163840,39886472,24.3447705078
1,384,3065,249814,8.1505383361
1,1152,9209,659990,7.1667933543
1,10240,81913,5878182,7.1761283313
1,15360,122873,8825952,7.1829873121
1,40960,327673,23640472,7.2146536333
1,81920,655353,47410986,7.2344196181
1,163840,1310713,94337334,7.1974058394
8,384,384,27382,7.1307291667
8,1152,1152,83446,7.2435763889
8,10240,10240,748044,7.3051171875
8,15360,15360,1133552,7.3798958333
8,40960,40960,2994928,7.3118359375
8,81920,81920,6069418,7.4089575195
8,163840,163840,12021194,7.3371545410
32,384,384,27926,7.2723958333
32,1152,1152,83702,7.2657986111
32,10240,10240,793434,7.7483789063
32,15360,15360,1267000,8.2486979167
32,40960,40960,3445676,8.4122949219
32,81920,81920,8109142,9.8988549805
32,163840,163840,27737382,16.9295544434
128,384,384,28160,7.3333333333
128,1152,1152,88410,7.6744791667
128,10240,10240,873760,8.5328125000
128,15360,15360,1244306,8.1009505208
128,40960,40960,6870186,16.7729150391
128,81920,81920,14773782,18.0344018555
128,163840,163840,30221710,18.4458679199
1024,384,384,36208,9.4291666667
1024,1152,1152,110488,9.5909722222
1024,10240,10240,2457956,24.0034765625
1024,15360,15360,3610488,23.5057812500
1024,40960,40960,9943156,24.2752832031
1024,81920,81920,19571056,23.8904492187
1024,163840,163840,39979036,24.4012670898
1,384,3065,219272,7.1540619902
1,1152,9209,659826,7.1650124878
1,10240,81913,5882996,7.1820052983
1,15360,122873,8823118,7.1806808656
1,40960,327673,23654724,7.2190030915
1,81920,655353,47208700,7.2035528944
1,163840,1310713,94363358,7.1993913237
8,384,384,27362,7.1255208333
8,1152,1152,84128,7.3027777778
8,10240,10240,748978,7.3142382812
8,15360,15360,1118134,7.2795182292
8,40960,40960,3073216,7.5029687500
8,81920,81920,6037114,7.3695239258
8,163840,163840,12004568,7.3270068359
32,384,384,27852,7.2531250000
32,1152,1152,83828,7.2767361111
32,10240,10240,855724,8.3566796875
32,15360,15360,1176726,7.6609765625
32,40960,40960,3322988,8.1127636719
32,81920,81920,8651548,10.5609716797
32,163840,163840,27775700,16.9529418945
128,384,384,28240,7.3541666667
128,1152,1152,89026,7.7279513889
128,10240,10240,917020,8.9552734375
128,15360,15360,1239242,8.0679817708
128,40960,40960,6576814,16.0566748047
128,81920,81920,15044848,18.3652929688
128,163840,163840,30224722,18.4477062988
1024,384,384,38774,10.0973958333
1024,1152,1152,110056,9.5534722222
1024,10240,10240,2357938,23.0267382813
1024,15360,15360,3635312,23.6673958333
1024,40960,40960,9935520,24.2566406250
1024,81920,81920,19652040,23.9893066406
1024,163840,163840,39886566,24.3448278809
