D,L,R,Clocks,ClocksPerAccess
4,40960,81919,5966048,7.2828623396
4,81920,163839,11903552,7.2653959070
4,163840,327679,23725862,7.2405805682
8,384,384,27356,7.1239583333
8,1152,1152,83436,7.2427083333
8,10240,10240,748918,7.3136523438
8,15360,15360,1122556,7.3083072917
8,40960,40960,3005596,7.3378808594
8,81920,81920,6005164,7.3305224609
8,163840,163840,12025970,7.3400695801
32,384,384,27862,7.2557291667
32,1152,1152,92276,8.0100694444
32,10240,10240,832904,8.1338281250
32,15360,15360,1247136,8.1193750000
32,40960,40960,3191848,7.7925976562
32,81920,81920,8341740,10.1827880859
32,163840,163840,27756442,16.9411877441
1,384,3065,229972,7.5031647635
1,1152,9209,659868,7.1654685634
1,10240,81913,5880238,7.1786383114
1,15360,122873,8835578,7.1908214172
1,40960,327673,23572892,7.1940294135
1,81920,655353,47163294,7.1966244146
1,163840,1310713,94407074,7.2027266076
2,384,1533,109630,7.1513372472
2,1152,4605,330626,7.1797176982
2,10240,40957,2960298,7.2278194204
2,15360,61437,4424830,7.2022234159
2,40960,163837,11817958,7.2132412093
2,81920,327677,23621722,7.2088434648
2,163840,655357,47242574,7.2086777131
4,384,767,54804,7.1452411995
4,1152,2303,165798,7.1992184108
4,10240,20479,1479912,7.2264856682
4,15360,30719,2218228,7.2210293304
4,40960,81919,5940126,7.2512188869
4,81920,163839,11870056,7.2449514462
4,163840,327679,23725396,7.2404383558
8,384,384,27386,7.1317708333
8,1152,1152,83224,7.2243055556
8,10240,10240,742950,7.2553710938
8,15360,15360,1121296,7.3001041667
8,40960,40960,3005486,7.3376123047
8,81920,81920,6040394,7.3735278320
8,163840,163840,12015290,7.3335510254
32,384,384,27888,7.2625000000
32,1152,1152,83804,7.2746527778
32,10240,10240,820278,8.0105273438
32,15360,15360,1249740,8.1363281250
32,40960,40960,3187472,7.7819140625
32,81920,81920,8378600,10.2277832031
32,163840,163840,27786106,16.9592932129
