D,L,R,Clocks,ClocksPerAccess
2,10240,40957,2915182,7.1176648680
2,15360,61437,4373930,7.1193743184
2,40960,163837,11675762,7.1264500693
2,81920,327677,23355840,7.1277019748
2,163840,655357,46750106,7.1335327158
4,384,767,54596,7.1181225554
4,1152,2303,164500,7.1428571429
4,10240,20479,1463732,7.1474779042
4,15360,30719,2197620,7.1539438133
4,40960,81919,5866342,7.1611494281
4,81920,163839,11738538,7.1646787395
4,163840,327679,23511742,7.1752361305
8,384,384,27560,7.1770833333
8,1152,1152,83234,7.2251736111
8,10240,10240,736944,7.1967187500
8,15360,15360,1126110,7.3314453125
8,40960,40960,3016246,7.3638818359
8,81920,81920,5970458,7.2881567383
8,163840,163840,12031024,7.3431542969
32,384,384,28002,7.2921875000
32,1152,1152,83330,7.2335069444
32,10240,10240,873496,8.5302343750
32,15360,15360,1256120,8.1778645833
32,40960,40960,3690556,9.0101464844
32,81920,81920,8599850,10.4978637695
32,163840,163840,28040708,17.1146899414
1,384,3065,217176,7.0856769984
1,1152,9209,652560,7.0861114127
1,10240,81913,5814720,7.0986534494
1,15360,122873,8734320,7.1084127514
1,40960,327673,23326036,7.1186933315
1,81920,655353,46696302,7.1253663293
1,163840,1310713,93359306,7.1227878262
2,384,1533,108844,7.1000652316
2,1152,4605,327384,7.1093159609
2,10240,40957,2917446,7.1231926166
2,15360,61437,4373804,7.1191692303
2,40960,163837,11689290,7.1347070564
2,81920,327677,23374102,7.1332751460
2,163840,655357,46790842,7.1397485645
4,384,767,54608,7.1196870926
4,1152,2303,164328,7.1353886235
4,10240,20479,1459594,7.1272718394
4,15360,30719,2199488,7.1600247404
4,40960,81919,5872154,7.1682442413
4,81920,163839,11737794,7.1642246352
4,163840,327679,23494816,7.1700707094
8,384,384,27468,7.1531250000
8,1152,1152,83090,7.2126736111
8,10240,10240,736730,7.1946289063
8,15360,15360,1127460,7.3402343750
8,40960,40960,3002248,7.3297070312
8,81920,81920,6011358,7.3380834961
8,163840,163840,11993602,7.3203137207
32,384,384,28052,7.3052083333
32,1152,1152,83246,7.2262152778
32,10240,10240,930270,9.0846679688
32,15360,15360,1283428,8.3556510417
32,40960,40960,3772718,9.2107373047
32,81920,81920,8230474,10.0469653320
32,163840,163840,28166908,17.1917163086
1,384,3065,217046,7.0814355628
1,1152,9209,652584,7.0863720274
1,10240,81913,5821668,7.1071356195
1,15360,122873,8766770,7.1348221334
1,40960,327673,23352396,7.1267379369
1,81920,655353,46732812,7.1309373727
1,163840,1310713,93353374,7.1223352481
2,384,1533,117718,7.6789302022
2,1152,4605,326888,7.0985450597
2,10240,40957,2910290,7.1057206338
2,15360,61437,4379956,7.1291827400
2,40960,163837,11691208,7.1358777321
2,81920,327677,23365578,7.1306738038
2,163840,655357,46879126,7.1532196955
4,384,767,54606,7.1194263364
4,1152,2303,164384,7.1378202345
4,10240,20479,1457760,7.1183163240
4,15360,30719,2195680,7.1476285035
4,40960,81919,5869176,7.1646089430
4,81920,163839,11751056,7.1723191670
4,163840,327679,23529730,7.1807256492
8,384,384,27446,7.1473958333
8,1152,1152,83276,7.2288194444
8,10240,10240,749956,7.3237890625
8,15360,15360,1117110,7.2728515625
8,40960,40960,3038792,7.4189257812
8,81920,81920,6013570,7.3407836914
8,163840,163840,12034670,7.3453796387
32,384,384,28046,7.3036458333
32,1152,1152,83360,7.2361111111
32,10240,10240,903860,8.8267578125
32,15360,15360,1393010,9.0690755208
32,40960,40960,3731696,9.1105859375
32,81920,81920,8192912,10.0011132812
32,163840,163840,28121536,17.1640234375
